validAlertedResponses,age,gender,avg_happy,avg_energised,avg_focused,avg_stressed,avg_productive1h,avg_AC_10i,avg_AC_2i,avg_AC_5i,avg_BP_11i,avg_BP_13i,avg_BP_1i,avg_BP_9i,avg_EC_2i,avg_EC_5i,avg_GS_11i,avg_KP_10i,avg_SR_7m,avg_SU_3i,avg_SU_6i,avg_TL_10i,avg_TL_14i,avg_TL_6i,avg_TS_14i,avg_TS_1i,avg_AC_9m,avg_BP_4m,avg_EC_9m,avg_GS_12m,avg_GS_4m,avg_GS_7m,avg_KP_13m,avg_KP_3m,avg_KP_6m,avg_SR_12m,avg_SR_13m,avg_SR_14m,avg_SR_8m,avg_SU_12m,avg_SU_14m,avg_SU_16m,avg_TL_13m,avg_TL_16m,avg_TS_13m,avg_TS_16m,avg_TS_4m,avg_TS_8m,avg_AC_12t,avg_AC_4t,avg_AC_7t,avg_BP_5t,avg_GS_15t,avg_GS_5t,avg_GS_9m,avg_KP_4t,avg_KP_7t,avg_SU_15t,avg_TL_17t,avg_TL_1t,avg_TS_9t,avg_BA_1,avg_BA_2,avg_BA_3,avg_BA_4,avg_BA_5,avg_CE_1,avg_CE_2,avg_CE_3,avg_EE_1,avg_EE_2,avg_EE_3,avg_EE_4,avg_EE_5,avg_EE_6,avg_EE_7,avg_EE_8,avg_RC_1,avg_RC_2,avg_RC_3,avg_SA_1,avg_SA_2,avg_SA_3,avg_SA_4,avg_SA_5,avg_SA_6,avg_SA_7 
2,unspecified,unspecified,0.416999996,0.5,0.583499998,,0.5,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,0.25,,,,,,,,,,0.25,,,,,,,,,,,,,,0.75,,,,,,,,0,
3,25-34,male,0.5,0.5,0.611000001,0.583499998,0.833499998,1,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,0,,,0,,,,,,,0.75,,,,0.75,,,
21,>55,male,0.738142857,0.738142857,0.722285713,0,0.676055554,0.75,,0.75,0.75,0.75,,,0.75,0.75,0.75,0.75,0.5,0.75,,0.5,0.5,0.75,,0.75,0.75,0.666666667,0.75,0.5,0.75,0.625,0.75,0.75,,0.75,0.75,,0.75,,0.75,0.75,0.75,0.5,0.75,0.583333333,0.75,0.666666667,0.75,0.75,0.833333333,0.75,,0.75,0.5,,0.75,0.75,0.75,0.625,,0.75,0.5,0.75,0.75,1,0.5,0.5,0.5,0.375,0.75,0.583333333,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,,0.75,0.75,0.625,,0.75
11,35-44,female,0.863636364,0.833272728,0.863636364,0.388999999,0.499666671,,,,0.25,0.5,,,,,0.75,,0.5,,,0.75,0.75,,0.25,,,,0.75,,,,,,,,,,0.5,,,0.25,0.75,0.75,,,,,1,,0.75,,,0.5,,,0.75,0.25,,,,,,0.5,0.5,0.5,0.5,0.25,,0.5,0.75,,0.75,,,0.75,,,,0.75,,,,,,,
31,25-34,male,0.521612902,0.564580644,0.516129032,0.374750003,0.523761905,0.625,0.5,0.75,0.875,0,0.5,,0.625,0.75,,,0.5,,0.75,0.5,0.25,,0.75,,0.25,0.25,0.25,0.25,0.5,0.25,0.625,0.25,0.5,0.375,0.25,0.25,,0.125,0.25,0.25,0.125,0.75,0.25,0.25,,0.25,0.25,0.5,0.25,0.5,0,0.25,0.25,0.5,0.25,,0,0.5,0.625,0.125,0.25,0.25,0.25,,,0.5,0.5,,,0.25,,0.25,0.25,0,,0.25,,1,0.25,0.25,,0.25,,0.5,0.75
220,>55,female,0.253790909,0.196445452,0.968904546,0.348859376,0.990722222,1,1,0.875,1,0.583333333,0.958333333,1,0.964285714,0.678571429,0.964285714,1,0.875,0.857142857,0.916666667,1,0.95,1,0.85,0.85,0.666666667,0.607142857,0.607142857,0.607142857,0.666666667,0.708333333,0.625,0.642857143,0.625,0.625,0.607142857,0.65,0.625,0.642857143,0.6,0.65,0.607142857,0.541666667,0.625,0.5,0.6,0.666666667,0.833333333,0.666666667,0.75,0.75,0.625,0.85,0.428571429,0.71875,0.857142857,0.666666667,0.875,0.791666667,0.6,0.458333333,0.785714286,0.59375,0.607142857,0.625,0.8,0.821428571,0.8125,0.71875,0.821428571,0.875,0.85,0.833333333,0.5,1,0.916666667,0.85,1,0.875,0.85,0.833333333,0.833333333,0.8125,0.958333333,0.785714286,0.964285714
1,45-54,female,0.5,0.333000004,0.5,0.5,,,,,,,,,,,,,0.75,,,,,,,,0.75,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.75,,,,,,,,,,1,,,,,,,,
27,25-34,female,0.697666665,0.660666664,0.709851852,0.370444443,0.843625002,0.75,,0.75,0.75,0.5,0.75,1,0.75,0.75,,1,,1,0.75,1,0.5,0.75,0.75,1,1,1,0.75,1,1,1,1,1,1,0.75,0.5,1,1,1,1,1,0.75,,0.75,0.75,1,1,,0.75,1,0.5,0.75,0.75,1,0.75,0.75,0.75,0.25,0.5,,0.25,1,1,1,,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.75,1,0.75,,1,1,0.75,0.75,0.75,,0.5,0.75,0.25,1
11,45-54,male,0.954454547,0.697,0.742272729,0.166999996,0.88866667,0.75,,0.75,,,,,,,1,,,,1,1,0.75,,,0.75,1,,,,,,1,1,,,,,,0.75,1,1,,,,,,1,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,1,,,,,,,,,0.75,
40,25-34,male,0.691675,0.558250001,0.629100001,0.0208125,0.84725,1,0.5,,0.75,0.75,,,0.75,0.5,1,0.75,,1,0.5,1,,0.75,0.875,1,0.875,0.75,0.75,0.75,1,1,,1,1,,,1,1,,,0.75,,,1,0.75,1,1,1,,,0.75,0.75,1,0.5,,0.75,0.75,0.5,,0.75,0.25,,0.75,,,,0.5,0.75,0.75,0.5,0.5,0.75,,0.75,0.875,0.75,0.5,1,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.75
7,35-44,female,0.595428569,0.571428571,0.571571427,0.166999996,0.583499998,,,,0.5,,,,0.5,,,,,,0.75,,0.75,,,,,,0.75,,,,0.5,0.5,0.5,,1,0.5,0.75,0.75,,0.75,,,,,,,0.5,0.75,,,,,,,,,,0.75,0.75,,,,,,0.75,,,,,,,0.75,,,,,0.75,,,,,0.5,,,
19,25-34,female,0.806947369,0.657736844,0.64031579,0.404999997,0.624750003,,,,1,0.25,0.75,0.875,,,0.75,0.75,0.75,0.75,0.5,,0.875,1,,,1,,1,,0.75,0.75,0.75,0.75,0.25,,,,0.75,0.75,,0.5,0.75,,0.75,,0.75,0.75,,0.75,0.5,,0.375,0.75,0.5,0.75,0.625,0.25,0.25,,0.25,0.5,,1,,,,1,,,,0.75,0.5,0.5,,1,1,1,,0.25,1,,0.75,1,,,
26,25-34,female,0.557807691,0.480807692,0.602615384,0.476000002,0.520999998,1,1,1,1,0.75,1,1,1,,1,1,1,1,1,0.75,0.25,1,0.75,1,1,1,1,1,1,1,1,0.875,1,1,1,1,,,1,1,1,1,1,1,1,,1,0.75,1,0.25,1,1,,0.25,0.75,0.25,1,1,0.75,0.75,1,1,1,,0.75,,0.75,0.25,1,1,,,1,1,1,,,1,,0.75,0.5,0.75,1,1,0.75
28,35-44,female,0.631071427,0.523821428,0.690392858,0.270874999,0.53711111,0.5,,0.75,0.25,0.625,,,0.75,0.25,1,0.375,,,,0.75,,0.75,,0.75,0.5,0.75,0.5,0.75,0.5,,,,0.75,,0.75,,,0.625,0.5,,0.25,,,0,0.75,,1,0.5,0.75,,,0.75,0.5,0.75,0.75,0.5,0.5,0.5,0.75,0.25,0.25,0.375,0.75,0.75,0.5,,0.75,,0.5,0.75,,0.875,,0.5,0.5,0.25,0.875,,,0.625,,0.5,1,0.75,1
45,>55,female,0.685133334,0.618488889,0.659222223,0.214285714,0.648973686,0.75,0.75,0.75,0.75,0.625,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.75,0.75,0.75,0.75,0.75,0.5,0.625,0.75,0.875,0.75,0.75,0.875,0.75,0.875,0.75,0.5,0.5,0.875,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.75,0.75,0.75,0.75,,0.75,0.75,0.75,0.75,,0.75,,0.875,0.75,0.625,0.75,0.75,0.75,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.625,0.875,0.625,,0.75,0.75,0.75,0.75,0.833333333,0.625,0.625,0.75,0.625,0.75
24,35-44,male,0.444499999,0.388916666,0.465333333,0.305500001,0.375,,0.75,1,1,,,,0.75,,0.75,0.75,,0.75,1,0.75,,0.75,0.75,,0.75,0.5,0.25,0.75,0.75,0.75,0.75,,0.75,0.75,0.75,0.75,,0.75,0.75,0.25,,0.416666667,,,,0.625,0.75,0.5,0.5,,,,,0.75,,0.75,1,0.25,0.75,,0.25,0.25,0.75,0.75,0.625,0.75,0.5,,,0.75,0.25,0.25,0.5,,0.75,0.75,,0.75,0.75,0.25,0.75,0,1,0.25,0.75
8,25-34,female,0.562624998,0.604249999,0.541500002,0.416500002,0.5,,1,,,,,,,,0.25,,1,0.75,,0.75,,,,,,,,,,1,,,1,,,,,1,1,0.75,,,,,,,,,,,0.75,,1,,,,,0.5,,,,0.75,1,,,,1,1,,0.75,1,,,0.75,,,1,,0.75,,,0.75,,,1
71,35-44,female,0.55640845,0.54228169,0.589239436,0.499965518,0.645906249,0.5,0.875,0.625,0.5,0.833333333,0.666666667,0.875,0.75,0.625,0.833333333,0.875,0.5,0.625,0.833333333,0.833333333,0.416666667,0.75,0.375,0.583333333,0.666666667,0.5,0.75,0.625,0.75,0.75,0.75,0.75,0.625,0.625,0.916666667,0.875,0.625,0.625,0.875,0.5,0.5,1,0.666666667,0.5,0.875,1,0.75,0.5,0.5,0.5,0.5,0.875,0.5,1,0.875,0.625,0.5,0.833333333,0.75,0.5,0.625,0.5,0.583333333,0.75,0.75,0.75,0.75,0.416666667,0.666666667,0.833333333,0.75,0.75,1,0.75,0.875,0.5,1,0.5,0.625,0.75,0.75,0.5,0.75,0.5,0.833333333
82,35-44,female,0.703268292,0.626,0.587426829,0.245294115,0.659376812,0.75,0.75,0.375,0.25,0.75,0.583333333,0.75,0.5,0.5,0.6875,0.416666667,0.75,0.75,0.416666667,0.75,0.75,0.75,0.166666667,0.75,0.75,0.75,0.6875,0.75,0.916666667,0.75,0.75,0.75,0.75,0.75,0.833333333,0.916666667,0.75,0.833333333,0.666666667,0.8125,0.75,0.75,0.75,0.75,0.833333333,0.75,0.75,0.666666667,0.625,0.75,0.5,0.75,0.75,0.75,0.75,0.583333333,0.6875,0.625,0.625,0.25,0.583333333,0.75,0.75,0.75,0.5,0.5,0.583333333,0.5625,0.625,0.583333333,0.583333333,0.75,0.75,0.625,0.625,0.75,1,0.5,0.5625,0.666666667,0.5,0.25,0.5,0.666666667,0.75
14,45-54,female,0.571428571,0.535785713,0.666785713,0.291749999,0.8333,0.25,1,0.5,0.75,0.75,1,1,,0.5,1,0.75,,1,0.75,1,0.75,,0.75,1,,1,1,1,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,,0.75,1,0.5,0.25,0.5,1,1,0.75,0.75,0.75,0.25,0.75,1,0.375,1,0.75,1,0.75,1,1,0.75,0.25,0.75,0.75,0.75,1,0.75,0.75
17,35-44,female,0.676411765,0.558882352,0.539176471,0.166666667,0.65,1,1,0.75,1,,0.75,,1,0.5,0.5,0.25,0.25,0.75,,0.5,,,,,,,0.5,0.25,,0.5,0.5,,,0.75,0.75,,,0.75,,,0.5,0.75,1,,0.75,0.75,0.75,,,,,,,0.75,,0.75,,1,,,,,,0.75,,0.25,,0.25,0.25,0.75,0.5,,,1,0.75,0.75,1,,,,1,,1,0.5,
29,16-24,male,0.666586208,0.37924138,0.339103448,0.312624998,0.448846152,0.25,0.5,0.875,0.75,0.5,0.625,1,0.5,0.75,0.75,,0.75,0.5,,1,0.5,,,0.5,0.5,0,0.75,0.25,0.125,0.5,0.5,0.75,0.25,0.25,0.25,0.5,0.5,,0.25,,0.25,,0.5,,0.75,,0.25,0.5,0.5,0.5,0.25,0.75,,0.5,,0.5,0.75,0.25,,,,0.625,0.5,0.5,0.625,0.75,0.625,0.625,0.25,0.75,0.125,0.25,0.75,0.75,0.75,,0.5,0.75,0.75,0.75,0.625,0.625,0.625,0.75,0.75
16,25-34,female,0.572999999,0.489624999,0.520999998,0.583333333,0.375,,,,,0,,,0.25,0.25,0.25,0.75,0.25,0.75,,0.75,,,,,1,1,0.75,0.75,1,,1,0.75,0.75,,,,0.75,,,,,,,,,,,0.25,0.5,,0,,,0.75,0.25,0.75,0.75,,0.5,0.75,,0.75,,,0.75,,,0.25,0.25,,,,0.75,0,0.75,,,0.5,,0.75,,0.75,0.25,0.75,0.75
12,16-24,male,0.680500001,0.597333332,0.569583332,0.416999996,0.583499998,0.75,,,,,,,,,,,,,,,,,,0.5,0.75,,,,,,,0.5,,1,,,,,,,,0.75,,,,,,0.5,0.75,,,0.75,,,0.75,,,,,,,,0.75,,,0.5,0.5,,,,,0.75,0.5,,,,,0.25,,0.5,,,,,
104,16-24,female,0.586615384,0.519307691,0.509673076,0.394763158,0.502194805,1,1,0.583333333,0.9375,0.333333333,0.5,1,0.5,0.75,1,0.9375,1,0.9375,0.95,1,0.75,0.75,0.8,1,0.6875,0.6,0.9375,1,1,0.833333333,0.8125,1,0.6875,0.5,0.875,0.9375,0.75,0.9,0.625,0.75,0.875,0.625,0.7,0.6875,1,0.916666667,0.916666667,0.75,0.8125,0.75,0.7,0.833333333,0.875,0.666666667,1,0.75,0.75,0.75,0.833333333,0.3,0.416666667,0.75,0.75,0.833333333,0.9,0.666666667,0.9,0.5,0.4375,0.4375,0.583333333,0.6875,0.583333333,0.75,0.6,1,1,0.833333333,0.6,0.416666667,0.75,0.5,0.6,0.4,0.5
6,25-34,female,0.694333335,0.583333333,0.527833333,0.416500002,0.666600001,1,,,,,,1,1,,,,,,,,,1,,,,,,,1,,1,1,1,,,,,,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,0.75,,,1,,,,1,,1,,,,1,,1
126,35-44,female,0.679880953,0.593944444,0.687825397,0.184263157,0.833323944,1,0.9375,0.833333333,1,0.75,1,1,0.85,0.916666667,1,1,1,1,1,1,0.666666667,1,0.8125,1,1,1,1,1,1,1,0.958333333,1,1,1,0.964285714,1,1,0.964285714,1,0.916666667,0.958333333,1,1,1,1,1,0.958333333,0.875,0.916666667,0.958333333,0.916666667,0.95,1,0.875,0.964285714,0.892857143,0.75,0.642857143,0.8,0.714285714,0.958333333,0.964285714,1,0.9,0.821428571,0.75,0.875,0.84375,1,1,0.916666667,0.9375,1,1,1,1,1,1,0.875,0.875,0.916666667,0.928571429,0.964285714,0.833333333,0.916666667
4,25-34,female,0.458499998,0.333250001,0.375,0.25,0.611000001,,,,,0.5,,,,,,,,,,0.75,,,,,,,,,,,,,,,,0.25,,0.25,0.5,,,,,0.5,,,,,,,,0.25,,0.5,,,,,,0.25,,,,,,,,,,,0.5,,,0.5,,,0.75,,,,,,,,
24,25-34,female,0.485958335,0.402583336,0.597125001,0.291500002,0.725529411,0.75,0.5,,0.25,0.25,0.5,0.75,0.25,0.25,,0,0,0.5,0.5,0.25,,0,0.5,0.25,0.25,0,0,0,0.25,,,,0,0.25,0,0,,0,0.25,0,,,0,0,0,0.25,0.75,0.5,1,,0.75,0.5,0,0.75,0.5,0.25,0.25,0.75,0.25,0,,0,0,,0.25,0.5,0.75,0,0.5,0.25,0.25,0,0.5,0.25,0.25,0.25,,0.25,0,0.5,0.5,,0.25,0.25,0
1,35-44,female,0.166999996,0.166999996,0.166999996,,0.166999996,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.25,,,,,,,,,,,,,
1,25-34,female,0.333000004,0.333000004,0.166999996,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,35-44,male,0.666500002,0.416999996,0.5,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,0.75,0.75,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,35-44,male,0.388833334,0.333499998,0.444333335,,0.416500002,0.5,1,0.75,0.25,,,,,,0.75,,,,0.75,0.75,,,,,,0.75,,0.75,0.75,,,,0.75,,,,,,,1,,,,,,,,,,0.75,1,,0.75,,0.75,,,,,,0.25,,0.75,,,,,,0.75,,,,,,0.5,0.75,,,,0.25,,0.25,,0,
59,35-44,female,0.757101694,0.703372882,0.785305085,0.145937499,0.855043479,1,0.875,1,0.5,0.75,0.75,1,1,1,,1,0.75,0.25,1,1,0.75,1,,1,0.75,,1,0.5,0.75,1,0.875,0.875,0.75,0.375,1,0.5,0.875,0.75,0.875,0.625,1,0.875,0.5,0.75,1,1,0.875,1,,0.75,,1,0.375,0.75,0.875,0.75,1,0.875,0.875,0.416666667,0.75,0.5,0.375,1,0.75,0.833333333,1,0.75,0.5,0.625,0.625,1,1,0.75,1,1,1,1,1,1,,0.625,1,0.666666667,1
11,55+,male,0.560363639,0.575727273,0.51509091,0.166999996,0.642857143,,,,,0.75,0.75,,0.75,,0.75,,,,0.75,,,,0.25,,0.75,0.75,,,,,,0.75,1,,,,0.75,,0.75,,1,,0.75,,,0.75,,,0.75,,0.75,,0.75,,,0.75,,,0.75,,,,,0.75,,0.75,0.75,,,,,,,,0.75,0.75,,,0.75,,,0.5,1,,0.75
5,25-34,male,0.633200002,0.599800003,0.6,0.5,0.25,,,,,,,,,,0.75,,0.5,,,,,1,,,,0.75,,,,,,,,,,,,,0.75,,,,,,,0.5,,,,,,,,,,,,,0.25,,0.75,,,,,0.75,1,,,,0.75,,,,,,,,1,,,,,,
81,25-34,male,0.664716048,0.592666666,0.561753086,0.310241381,0.583370967,0.75,1,0.666666667,0.75,0.666666667,0.833333333,0.833333333,1,0.666666667,1,0.833333333,1,1,0.833333333,0.75,0.666666667,0.833333333,0.5,0.75,0.833333333,0.5,0.916666667,0.75,0.75,0.666666667,0.833333333,0.583333333,0.6875,0.75,0.916666667,0.875,0.916666667,0.75,0.666666667,0.75,0.75,0.625,0.875,0.8125,0.875,0.75,0.8125,0.5625,0.375,0.333333333,0.416666667,0.75,0.75,0.5,0.75,0.666666667,0.625,0.75,0.5625,0.625,0.75,0.5,0.583333333,0.833333333,0.75,0.5,0.6875,0.5,1,0.875,0.583333333,1,0.666666667,0.875,0.666666667,0.75,1,0.875,0.5,0.5,0.75,0.666666667,0.75,0.583333333,0.75
2,35-44,male,0.833000004,0.166999996,0.166999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
67,55+,female,0.805910449,0.790955225,0.875507464,0.158809523,0.78557143,1,1,0.5,1,0.75,0.75,0.916666667,0.875,1,1,0.75,0.75,1,0.75,0.875,0.875,,0.625,1,1,1,1,1,1,1,1,1,0.875,1,1,1,1,,0.5,1,1,1,0.875,1,1,1,1,,1,1,0.625,0.875,0.625,1,0.75,1,0.875,0.75,1,0.5,0.875,0.875,1,0.5,1,0.75,1,0.875,1,0.75,1,0.916666667,1,1,1,1,1,0.75,0.75,1,1,1,0.875,0.75,1
9,45-54,female,0.777777778,0.537,0.574111111,0.166999996,,,,0.5,,,,,,,0.5,,,,,,,,0.25,,,,1,,,,,,0.75,,,,,,,0.75,,,,,,,,,,,0.25,0.5,,,,0.5,,0.5,,,0.5,,1,,,,,,,,0.75,,,,,,,0.75,,,1,,,,
7,25-34,female,0.66685714,0.666428574,0.642857143,0.333000004,0.433200002,0.75,,0,0.25,0.25,,,,0,,,,,,,,,,,,,0,0.25,0.25,,,,,,,,,0,0,,,0,,,,,0.5,,,,0.75,0.25,,0.25,,,,,,,,,,0,,0.75,0.75,,,0.5,,,,,,,,,,,,,,0.5,0.75
95,45-54,female,0.654431578,0.607094736,0.62816842,0.268414633,0.62630303,1,1,0.375,1,0.375,0.625,1,1,0.25,0.833333333,0.666666667,0.75,0.625,0,1,0.5,0.5,0.75,0.4,0.5,0,0.25,0.25,0.125,0.25,0.416666667,0.3125,0.125,0.0625,0.75,0.125,0.25,0.15,0.083333333,0.125,0,0.083333333,0.25,0,0.083333333,0.166666667,0.375,0.333333333,0.083333333,0,0,0.25,0,0.083333333,0,0,0,0.083333333,0,0,0.125,0,0,0.1875,0.375,0.5,0.5,0,0.333333333,0,0.5,0.166666667,0.916666667,0.4375,0,0.125,1,0.25,0.5,0.666666667,0.625,0,0.875,0.583333333,0.833333333
48,35-44,female,0.680624999,0.604208333,0.5590625,0.193210523,0.649413793,0.5,1,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.375,1,0.75,0.5,0.875,0.75,0,0.5,1,0.625,0.75,0.75,0.75,1,0.75,0.75,0.75,0.75,0.75,1,0.75,0.625,0.75,0.5,0.75,0.375,0.75,0.75,0.75,0.75,0.5,0.375,0.75,0.75,0.75,0.75,0.625,0.625,0.75,0.5,0.125,0.5,0.625,0.25,0.75,0.625,0.75,0.75,0.75,0.5,0.75,0.25,0.625,0.5,0.5,0.5,0.75,0.5,0.75,0.75,0.25,0.625,0.75,0.5,0.625,0.75,0.75,0.5,0.75
16,25-34,female,0.322999999,0.312562499,0.343812499,0.527833333,0.4,0.5,0.75,0.25,0.5,0,0.5,,0.75,,0.75,1,0.75,,,0.75,,0.25,,,,0.75,0.5,0.5,0.75,0.75,,,0.5,,,,0.5,0.5,,0.75,,0.5,0.75,0.5,0.5,,,,0.75,,0.5,0.75,0.75,,1,,,,0.375,0.5,0.25,,,,,,0.75,0,,0,,0.75,0.5,,,1,,0.25,0.5,0.5,,0.25,,0.25,0.5
2,45-54,female,0.666999996,0.583499998,0.583499998,0.166999996,0.916500002,,,,,,,,,,,,,,,,0.75,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0.75,,,,,,,,,,,,0.75,,,,,,
38,16-24,female,0.552657894,0.513157895,0.684210526,0.687749997,0.813705883,1,1,1,1,,0.75,,1,1,,1,1,1,1,1,0,1,0.75,,0.875,0.5,1,1,1,1,1,,0.875,0.5,0.75,1,1,0.75,,1,0.75,0.75,1,,0.75,,0.5,0.5,1,,0.75,,0.875,1,1,0,0.625,0.625,0.5,0.5,0.75,1,1,0.75,0.5,0.5,,0.25,1,,0.5,,0.75,0.625,1,1,1,1,0.75,0.75,0.5,0.5,1,,1
28,25-34,female,0.994035714,0.577392857,0.946357144,0.309571428,0.984863636,1,1,1,1,1,,1,1,1,1,1,1,1,1,,0.5,1,1,,1,0.5,1,1,,0.75,1,,1,0.916666667,1,1,1,1,1,1,0.75,1,1,0.75,1,0.5,1,1,1,1,1,0.5,1,1,1,1,1,0.75,,1,1,1,,1,1,0.833333333,1,0.625,0.75,1,1,,,1,1,1,,1,0.5,0.875,0.5,,,0.5,1
9,16-24,female,0.648333331,0.703777777,0.740555558,0.277666668,0.759333332,,,,,,0.5,,0.75,,,0.5,,,1,,,,,,,0.25,,,,,,,,,1,,,0.5,,,,0.25,,,0.75,0.5,,,,0.75,0.25,0.5,,,,0.5,,0.5,,0.5,,,,,0.75,,,0.25,0.5,0.25,,0.5,,,,0.5,0.75,0.5,0.25,1,,,0.75,,
30,45-54,male,0.683433332,0.694466666,0.633366666,0.125166665,0.620388889,0.75,0.75,0.75,,0.75,,0.75,0.75,,,0.5,0.5,0.75,0.75,0.75,0.25,0.5,0.75,0.75,0.5,0.5,0.75,0.75,0.5,0.75,0.75,0.5,,0.5,0.75,0.75,0.75,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.75,0.5,,0.5,0.5,0.5,0.75,0.25,0.5,0.5,0.5,0.75,,,0.5,0.75,0.75,0.5,0.75,0.5,0.5,0.5,0.25,0.75,0.75,0.5,0.75,0.25,0.75,,,0.5,0.75,0.5,,0.5,0.5,0.75,,0.5
5,25-34,female,0.633399999,0.566400003,0.499800003,0.166999996,0.633399999,,,,,,,,0.75,,,,,0.5,,,0.75,0.75,,,0.75,,,,,,,,,,,,,0.75,,,,0.5,,,,,,,,,0.75,,,,0.75,,,,,,,,,0.75,0.75,,,,0.75,,,,,,0.75,,,,0.5,,,,,,0.75
5,25-34,male,0.733399999,0.700199997,0.566799998,0.208250001,0.833000004,,,,,,,0.75,,0.75,,,,,,,,,,,,,,,,,1,,,,,,,,0.75,0.75,,0.75,,,,,,,,,,,,,0.75,,,,,,,,,,0.5,,,,,0.5,,,,,,,,0.75,,,0.75,,0.5,,
23,25-34,male,0.210347823,0.188521738,0.260999998,0.222333332,0.425049999,0.75,,0.75,1,0,0.5,0.75,,0.75,1,,0.75,0.75,0.75,0.75,1,,,0.75,0.75,0.5,0.25,0.75,0.75,,0.75,0.75,0.75,0.75,0.5,0.75,0.75,,0.75,0.75,0.75,0.75,,0.75,0.75,,0.75,,,0.5,0.25,0.75,,0.5,0.75,0.5,0.75,0.5,0.75,0,0,0.25,0.75,0,0,0,,0,0.75,0,,0,0,,0,0.75,0.75,0.75,0,,0,0,,,0
5,45-54,female,0.566600001,0.566600001,0.566600001,0.166999996,0.75,0.75,,,,,,,,0.75,,,,1,1,0.75,,1,,,,,,,,1,,,,,,,,,,0.75,,,,,,,,,,,1,,0.75,,,,,,,,,0.75,1,,,,,,,,,,,,,,,,,,,,,,
16,45-54,male,0.947812501,0.843562502,0.874812502,0.166999996,0.883200002,,,0.75,1,,0.75,0.875,1,0.75,1,0.75,0.75,0.75,,0.75,0.75,,0.75,0.75,0.75,,0.75,,,0.75,0.75,,0.75,0.625,1,,0.75,,0.75,0.75,0.75,,0.75,0.625,,0.75,1,0.75,1,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,,0.75,0.75,,0.875,,0.75,0.75,0.5,,0.75,0.75,0.75,0.75,1,1,0.75,,0.75,0.75,0.75,0.75,,1,0.75,1
14,45-54,male,0.904785714,0.821428571,0.785642858,0.25,0.948692308,1,1,1,,,0.75,1,,1,1,1,,1,,,0.75,1,0.75,,,,,,,0.75,,,0.75,,1,0.25,,1,,,,0,1,,,,1,,,1,,0.75,,,1,0.75,,1,0.25,,0.5,0.5,1,,,,0.75,,,1,,1,,1,,1,,,0.5,,0.75,0.5,,0.75,
26,25-34,female,0.717923077,0.615346154,0.647461538,0.121363634,0.719263158,1,1,,1,0.75,1,1,0.5,0.75,0.75,1,1,,1,,0.75,1,0.75,1,1,0.75,1,,,,0.75,,0.75,,,1,1,1,0.75,1,0.75,1,1,,1,,,,0.75,,0.75,0.75,0.75,0.625,,0.75,,0.75,1,0.5,,0.75,,,0.5,0.5,,0.75,0.5,,0.75,0.75,0.5,,0.75,0.875,1,0.75,0.75,0.75,,,1,0.75,0.75
1,35-44,female,0,0.166999996,1,,1,,,,0.75,,,0.25,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.75,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
